feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,0.16207112246953814,0.12443404610324975,41.0,-1.544720774921856,Collision,numeric
Age,0.07906404286228201,0.07104016034083632,42.0,-1.544720774921856,Collision,numeric
Age,0.09780847546340574,0.10080257968380603,43.0,-1.544720774921856,Collision,numeric
Age,0.04480501755010987,0.06808122929869967,44.0,-1.544720774921856,Collision,numeric
Age,-0.13920484849757278,0.14715421239777715,45.0,-1.544720774921856,Collision,numeric
Age,-0.1401683597277615,0.1473995444448538,46.0,-1.544720774921856,Collision,numeric
Age,-0.6069074083383459,0.38893073368158926,47.0,-1.544720774921856,Collision,numeric
Age,-0.6114356661795443,0.3901349908515909,48.0,-1.544720774921856,Collision,numeric
Age,-0.6068336960587682,0.37795311504958645,49.0,-1.544720774921856,Collision,numeric
Age,-0.6256683992886409,0.3869160972993228,50.0,-1.544720774921856,Collision,numeric
Age,-0.6962713637013572,0.41483984213774105,51.0,-1.544720774921856,Collision,numeric
Age,-0.7199613804758326,0.41562857742735587,52.0,-1.544720774921856,Collision,numeric
Age,-0.7245230912295418,0.4176027035650485,53.0,-1.544720774921856,Collision,numeric
Age,-0.884419485551557,0.5140588954836368,54.0,-1.544720774921856,Collision,numeric
Age,-1.1874146848506886,0.684163665348223,55.0,-1.544720774921856,Collision,numeric
Age,-0.9957473592575006,0.5272589674368389,56.0,-1.544720774921856,Collision,numeric
Age,-0.5222770895523073,0.3375626214208164,57.0,-1.544720774921856,Collision,numeric
Age,-0.010856460482869252,0.18727918377500738,58.0,-1.544720774921856,Collision,numeric
Age,0.038639851431898964,0.22437491187586786,59.0,-1.544720774921856,Collision,numeric
Age,-0.0843586701059855,0.22584024937542113,60.0,-1.544720774921856,Collision,numeric
Age,-0.10167969152484221,0.20157128192597346,61.0,-1.544720774921856,Collision,numeric
Age,-0.14626770994930985,0.21075299573906547,62.0,-1.544720774921856,Collision,numeric
Age,-0.14271947789529957,0.21140173473866294,63.0,-1.544720774921856,Collision,numeric
Age,-0.17254938881133206,0.21178048584250223,64.0,-1.544720774921856,Collision,numeric
Age,-0.47382864908898253,0.3322157633753618,65.0,-1.544720774921856,Collision,numeric
Age,-0.48442246171952763,0.3358182840342809,66.0,-1.544720774921856,Collision,numeric
Age,-0.48260447271763085,0.3371480905256025,67.0,-1.544720774921856,Collision,numeric
Age,-2.101672054320056,1.1799755371002385,68.0,-1.544720774921856,Collision,numeric
Age,-2.116626364676499,1.1845666990946495,69.0,-1.544720774921856,Collision,numeric
Age,-2.1260125652022634,1.1851158791434053,70.0,-1.544720774921856,Collision,numeric
Age,-2.134530675315841,1.1841303841561124,71.0,-1.544720774921856,Collision,numeric
Age,-1.8395238790388468,0.9727674471701637,72.0,-1.544720774921856,Collision,numeric
Age,-1.852513870797243,0.9551398363539515,73.0,-1.544720774921856,Collision,numeric
Age,-1.954426509938591,1.0343221612205995,74.0,-1.544720774921856,Collision,numeric
Age,-1.9602241383564243,1.0367412670177163,75.0,-1.544720774921856,Collision,numeric
Age,-1.694509181078852,0.9269205622347441,76.0,-1.544720774921856,Collision,numeric
Age,-0.6576502177014883,0.492230781716229,77.0,-1.544720774921856,Collision,numeric
