feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,-0.015049359015034491,0.03095219051652278,48.0,-1.5314750349836255,Collision,numeric
Age,-0.0001497026959577613,0.044248133812606116,49.0,-1.5314750349836255,Collision,numeric
Age,-0.03399773274078024,0.04075969210093884,50.0,-1.5314750349836255,Collision,numeric
Age,-0.06243585338610981,0.044235330420592696,51.0,-1.5314750349836255,Collision,numeric
Age,-0.1082563813301524,0.06420951135945206,52.0,-1.5314750349836255,Collision,numeric
Age,-0.11009077250544975,0.08374097372672741,53.0,-1.5314750349836255,Collision,numeric
Age,-0.3810359668325288,0.14276180326363383,54.0,-1.5314750349836255,Collision,numeric
Age,-0.941208068601754,0.2628688700353694,55.0,-1.5314750349836255,Collision,numeric
Age,-0.853693532202017,0.21332040566441648,56.0,-1.5314750349836255,Collision,numeric
Age,-0.39084264683175024,0.14607325400830337,57.0,-1.5314750349836255,Collision,numeric
Age,0.14434942858656388,0.18828503159525714,58.0,-1.5314750349836255,Collision,numeric
Age,0.3111773806053049,0.2268099228611225,59.0,-1.5314750349836255,Collision,numeric
Age,0.08870346653975082,0.14694614672568007,60.0,-1.5314750349836255,Collision,numeric
Age,0.06751352430071808,0.14287173871676864,61.0,-1.5314750349836255,Collision,numeric
Age,0.03934982530899622,0.13018424279996513,62.0,-1.5314750349836255,Collision,numeric
Age,0.05012366916478846,0.13673048495093473,63.0,-1.5314750349836255,Collision,numeric
Age,-0.028289014264341873,0.14748543853622367,64.0,-1.5314750349836255,Collision,numeric
Age,-0.43508187229684925,0.21285289340457658,65.0,-1.5314750349836255,Collision,numeric
Age,0.15421636061970923,0.4011703487438789,66.0,-1.5314750349836255,Collision,numeric
Age,0.4247145167051337,0.2993066111797716,67.0,-1.5314750349836255,Collision,numeric
Age,-2.757134990770862,1.0956919453811356,68.0,-1.5314750349836255,Collision,numeric
Age,-2.769684125135807,1.0980423179204721,69.0,-1.5314750349836255,Collision,numeric
Age,-2.7845291910962766,1.0969744142570157,70.0,-1.5314750349836255,Collision,numeric
Age,-2.7962091151815662,1.1032802396381411,71.0,-1.5314750349836255,Collision,numeric
Age,-0.9960112425303029,0.5956958258158663,72.0,-1.5314750349836255,Collision,numeric
Age,-1.3043432123962548,0.9739183769465459,73.0,-1.5314750349836255,Collision,numeric
Age,-2.2849232003199353,1.213181506167992,74.0,-1.5314750349836255,Collision,numeric
Age,-2.2891584388045056,1.2111453392085512,75.0,-1.5314750349836255,Collision,numeric
Age,-1.024404564504511,0.4876387445547528,76.0,-1.5314750349836255,Collision,numeric
Age,0.37324402373225213,0.3698587183293241,77.0,-1.5314750349836255,Collision,numeric
Age,-0.42240537135537837,0.526821460778817,78.0,-1.5314750349836255,Collision,numeric
Age,-3.95699214754404,1.168898646567213,79.0,-1.5314750349836255,Collision,numeric
Age,-3.9891863664979716,1.173616993772707,80.0,-1.5314750349836255,Collision,numeric
Deductible,-0.47437616993654336,0.26938114611149694,300.0,-1.5314750349836255,Collision,numeric
Deductible,-0.026478077402096095,0.0033762026359841707,400.0,-1.5314750349836255,Collision,numeric
Deductible,1.2261011842076943,0.12215176752387678,500.0,-1.5314750349836255,Collision,numeric
Deductible,-0.038814245481221275,0.14929557921162048,700.0,-1.5314750349836255,Collision,numeric
DriverRating,0.12174615529293552,0.017402394255726802,1.0,-1.5314750349836255,Collision,numeric
DriverRating,0.13319045590284018,0.01448702640488114,2.0,-1.5314750349836255,Collision,numeric
DriverRating,0.1875631149120323,0.02184935722581615,3.0,-1.5314750349836255,Collision,numeric
DriverRating,-0.5457674100225602,0.03075056774278532,4.0,-1.5314750349836255,Collision,numeric
Make,0.5815662532200889,0.07476230036191428,Accura,-1.5314750349836255,Collision,category
Make,0.05703967196990212,0.03704180680090302,BMW,-1.5314750349836255,Collision,category
Make,-0.01181314758174722,0.03260610052682796,Chevrolet,-1.5314750349836255,Collision,category
Make,-0.947408716951618,0.3165680938471832,Dodge,-1.5314750349836255,Collision,category
Make,-0.9580087852580649,0.3142421961840078,Ferrari,-1.5314750349836255,Collision,category
Make,-0.7952156087331435,0.25262563236021723,Ford,-1.5314750349836255,Collision,category
Make,0.16230632190517066,0.040455902008567746,Honda,-1.5314750349836255,Collision,category
Make,-0.0118798468290256,0.05301599253463522,Jaguar,-1.5314750349836255,Collision,category
